PM,PM10,SO2,NO2,CO,O3,AQI
35,58,8,34,0.8,81,63
37,62,7,35,0.83,84,65
36,59,8,30,0.76,101,71
26,49,9,29,0.72,130,81
42,75,9,41,0.85,84,71
40,71,10,48,0.89,72,66
42,69,9,44,0.8,99,86
44,70,9,38,0.74,99,76
38,58,8,36,0.74,86,62
24,39,7,39,0.74,69,46
34,54,8,37,0.81,71,56
26,42,8,31,0.73,83,52
21,36,7,32,0.68,51,39
30,49,6,40,0.78,65,56
35,57,7,46,0.84,41,54
21,34,7,27,0.65,48,35
22,37,7,28,0.66,57,38
28,46,7,37,0.81,80,57
34,58,7,45,0.9,70,58
41,68,8,41,0.84,111,88
29,50,7,41,0.81,70,52
30,51,8,38,0.78,64,53
30,51,7,40,0.78,73,56
22,36,7,28,0.68,83,48
36,61,8,37,0.8,84,65
31,52,8,33,0.76,78,57
43,71,10,39,0.85,96,77
39,65,8,33,0.73,97,71
51,85,9,40,0.87,118,101
30,51,7,26,0.75,95,57
26,51,8,27,0.72,98,61
31,57,9,35,0.74,106,74
37,65,8,36,0.75,106,76
42,75,9,40,0.82,119,89
44,67,8,36,0.83,126,83
17,32,7,24,0.68,94,55
40,69,8,37,0.85,123,91
43,69,8,35,0.91,91,65
44,71,9,42,0.94,111,83
57,90,9,41,0.93,134,107
43,68,6,28,0.82,129,85
29,48,6,21,0.7,103,59
19,35,6,23,0.65,86,47
29,53,8,38,0.85,89,71
22,35,7,22,0.65,57,42
21,37,6,31,0.65,54,37
29,52,8,40,0.75,41,51
30,57,8,35,0.69,64,55
31,53,7,29,0.69,57,50
20,33,6,23,0.6,73,39
29,46,5,33,0.67,47,46
30,48,6,33,0.73,52,48
25,40,6,28,0.73,45,41
30,45,6,33,0.82,34,46
21,32,6,26,0.74,40,37
15,32,6,31,0.67,46,36
22,41,7,37,0.72,42,48
28,51,7,36,0.79,40,49
24,39,6,29,0.78,41,41
22,48,7,41,0.92,28,46
18,39,7,33,0.67,66,44
35,63,8,38,0.76,66,60
45,66,7,35,0.86,40,64
21,35,6,21,0.74,54,37
15,28,6,20,0.72,49,31
14,27,6,26,0.78,57,34
16,31,6,26,0.73,47,33
19,38,6,34,0.74,53,41
27,49,8,38,0.83,51,49
25,43,6,38,0.76,44,43
18,31,5,32,0.67,43,32
21,37,6,36,0.69,28,38
20,32,5,28,0.54,42,33
27,44,6,35,0.6,41,45
43,63,6,38,0.67,43,61
57,78,6,39,0.76,43,78
27,40,5,29,0.55,44,41
24,37,5,33,0.6,50,39
21,38,5,38,0.59,48,38
18,44,7,32,0.45,63,45
55,97,9,60,0.78,31,78
67,101,8,47,0.81,32,90
41,55,5,27,0.6,58,59
35,52,5,34,0.65,51,51
34,54,7,39,0.7,47,52
51,72,7,47,0.75,36,72
58,85,6,48,0.81,25,80
34,47,5,30,0.64,36,49
20,31,5,27,0.61,42,32
19,31,5,27,0.71,42,32
21,36,6,30,0.71,38,37
45,69,7,47,0.95,21,65
34,56,7,41,0.73,39,55
40,69,6,38,0.7,27,61
36,62,8,41,0.84,39,57
51,95,10,58,1.09,41,75
63,109,13,51,0.99,32,88
60,99,7,45,0.86,49,82
82,125,8,53,0.96,40,111
65,98,9,45,0.9,40,93
42,74,9,49,0.89,45,64
62,97,11,55,1.04,57,85
85,123,10,52,0.99,63,113
72,106,12,54,0.88,53,98
43,71,10,38,0.71,46,66
22,42,6,34,0.54,37,42
35,54,6,38,0.54,27,52
27,41,6,33,0.49,36,42
30,46,7,34,0.55,41,46
48,69,5,42,0.62,31,67
61,90,6,51,0.84,25,84
56,83,7,45,0.86,36,78
53,78,5,41,0.75,36,73
48,71,5,41,0.79,20,68
59,85,7,43,0.84,18,81
33,52,6,34,0.75,20,50
12,22,4,26,0.63,33,23
17,27,4,26,0.55,38,28
25,39,5,35,0.61,39,40
36,60,6,45,0.71,30,56
53,85,6,50,0.81,20,74
55,88,8,48,0.82,25,78
44,76,7,49,0.73,33,65
